Test1,Test2,Test3,Test4,TotalSize,InitialSize,AfterNodes,AfterEdges
0.085350849,0.009585673,2.75E-5,1.86302E-4,1423966208,1115583656,1073987600,1073987600
0.08673826,0.009573973,7.43E-5,2.56602E-4,1423966208,1073987600,1011595512,1011595512
0.086876661,0.009566873,9.3801E-5,1.95001E-4,1423966208,1011595512,970000632,970000632
0.090951992,0.009712574,2.82E-5,1.84202E-4,1423966208,970000632,928405736,928405736
0.088990377,0.009624573,3.44E-5,1.74102E-4,1423966208,928405736,886810984,886810984
0.1446005,0.015681719,0.002084816,5.41904E-4,506462208,498534920,453577376,448292152
0.063818186,0.013374602,1.077E-4,3.31003E-4,506462208,448292152,406007616,403365064
0.071126241,0.005994046,2.01001E-4,3.20903E-4,506462208,403365064,478341744,475778912
0.028534917,0.005821345,1.22501E-4,8.19306E-4,506462208,475778912,432206224,427080480
0.033239553,0.005676143,9.1701E-5,2.77702E-4,506462208,423116744,380777040,375651392
0.045796748,0.00522944,1.06001E-4,2.06801E-4,506462208,375651392,595942720,590799368
0.02769491,0.004777337,1.06E-4,2.17702E-4,638582784,590799368,549653208,544509784
0.02766541,0.004341233,7.9701E-5,3.75303E-4,638582784,544509784,503345120,498201872
0.048345968,0.00789666,1.21101E-4,2.02001E-4,638582784,498201872,457052032,451908968
0.06046586,0.007745759,8.7301E-5,1.94401E-4,638582784,451908968,410747488,405604368
0.081668421,0.01835254,4.37E-5,1.83701E-4,638582784,405604368,364457640,614035312
0.027156907,0.00403623,6.3801E-5,1.68301E-4,638582784,614035312,572589200,567408632
0.026967305,0.004048031,3.7E-5,1.65201E-4,638582784,567408632,525961752,520780864
0.027134607,0.00403503,4.1501E-5,1.99801E-4,638582784,520780864,477617568,472437056
0.027176206,0.004036131,3.62E-5,1.61102E-4,638582784,472437056,430990104,425809568
0.026942505,0.004070031,3.65E-5,1.62102E-4,638582784,425809568,384364080,379183440
0.060027356,0.004006731,3.66E-5,1.69302E-4,638582784,379183440,864233808,853897872
0.026979805,0.004020731,3.65E-5,1.68502E-4,902823936,853897872,812552952,812552952
0.026984005,0.004009231,3.85E-5,1.64501E-4,902823936,812552952,760873528,760873528
0.030382932,0.004343833,4.0E-5,1.81501E-4,902823936,760873528,719512248,719512248
0.029807527,0.004646635,3.9E-5,1.85302E-4,902823936,719512248,667831752,667831752
0.029528224,0.004713136,3.7601E-5,1.90401E-4,902823936,667831752,626486720,626486720
0.042142421,0.00783016,3.83E-5,1.76801E-4,902823936,626486720,574803504,574803504
0.060451659,0.007672559,3.68E-5,1.87501E-4,902823936,574803504,533459744,523123576
0.062644976,0.007671559,4.2E-5,2.07902E-4,902823936,523123576,481778320,481778320
0.061142765,0.007746659,4.42E-5,1.74801E-4,902823936,481778320,440434776,430098888
0.087870068,0.007683559,4.51E-5,2.13602E-4,902823936,430098888,388753896,388753896
0.064082087,0.003996731,1.28101E-4,2.18801E-4,902823936,388753896,865838808,865838808
0.033307554,0.030739034,7.51E-5,2.58102E-4,902823936,865838808,824316344,824316344
0.087015262,0.010062276,2.9601E-5,1.86501E-4,902823936,824316344,772412200,772412200
0.079458104,0.009956976,2.91E-5,2.05202E-4,902823936,772412200,730887352,730887352
0.087994969,0.012205093,3.25E-5,1.90002E-4,902823936,730887352,678983872,678983872
0.082366127,0.00923327,4.57E-5,1.68202E-4,902823936,678983872,637460536,637460536
0.046929757,0.004596835,8.1801E-5,1.68901E-4,902823936,637460536,585556224,585556224
0.029199822,0.003668528,2.89E-5,1.94402E-4,902823936,585556224,544001056,544001056
0.042984827,0.01191969,4.8201E-5,1.97801E-4,902823936,544001056,492096344,492096344
0.054984218,0.006092847,4.51E-5,1.62301E-4,902823936,492096344,450571696,450571696
0.055747824,0.006134147,3.65E-5,1.59901E-4,902823936,450571696,398666496,398666496
0.055534322,0.040839811,4.34E-5,1.96702E-4,902823936,398666496,361553888,1384627016
0.071487843,0.009144769,3.22E-5,1.79402E-4,1423441920,1384627016,1342955568,1342955568
0.036330876,0.003657428,2.75E-5,1.50601E-4,1423441920,1342955568,1301286568,1301286568
0.02892672,0.003621928,7.29E-5,1.55801E-4,1423441920,1301286568,1259617416,1259617416
0.029387823,0.003617728,2.6E-5,1.57401E-4,1423441920,1259617416,1217947000,1197112360
0.028469017,0.003707728,2.94E-5,1.51301E-4,1423441920,1197112360,1155443344,1155443344
0.042409922,0.006982154,2.84E-5,1.68801E-4,1423441920,1155443344,1113774344,1113774344
0.058562045,0.006300648,3.2301E-5,2.17901E-4,1423441920,1113774344,1072104992,1072104992
0.041337314,0.003614628,7.06E-5,2.09002E-4,1423441920,1072104992,1030436008,1009601520
0.029157122,0.003611327,7.3401E-5,1.58101E-4,1423441920,1009601520,967929896,967929896
0.02761181,0.003674528,2.8E-5,1.57702E-4,1423441920,967929896,926260776,926260776
0.027331208,0.003600428,2.53E-5,1.52601E-4,1423441920,926260776,884590600,884590600
0.134069719,0.014921813,0.002132016,5.58004E-4,506462208,498534920,450932592,445647744
0.066594007,0.010921383,1.075E-4,3.38703E-4,506462208,445647744,403361728,400702920
0.075228072,0.005887145,1.38001E-4,3.26302E-4,506462208,400702920,475929640,473393136
0.028810019,0.005402141,1.09501E-4,3.09402E-4,506462208,473393136,430245000,425172208
0.029888127,0.006256648,9.12E-5,2.13002E-4,506462208,422529680,378079712,375543344
0.039163897,0.004166632,1.13501E-4,2.30402E-4,506462208,375543344,595857832,590766728
0.027967913,0.004109431,1.49201E-4,9.04507E-4,638582784,590766728,550034432,544942992
0.027911112,0.004105031,9.0201E-5,3.91803E-4,638582784,544942992,504212600,499121392
0.05005018,0.00792496,1.37301E-4,2.02802E-4,638582784,499121392,458390368,453299280
0.06052606,0.007734159,8.9501E-5,1.88401E-4,638582784,453299280,407477320,407477320
